type,category,purpose,count
data_shared,Personal info,"Fraud prevention, security, and compliance",1189
data_shared,Personal info,Analytics,2554
data_shared,Personal info,Account management,1706
data_shared,Photos and videos,Analytics,81
data_shared,Photos and videos,"Fraud prevention, security, and compliance",200
data_shared,Files and docs,App functionality,344
data_shared,Files and docs,Analytics,63
data_shared,Files and docs,"Fraud prevention, security, and compliance",54
data_shared,App activity,Analytics,6885
data_shared,App activity,"Fraud prevention, security, and compliance",2209
data_shared,App activity,Advertising or marketing,4165
data_shared,App activity,Personalization,1222
data_shared,App activity,App functionality,2234
data_shared,App activity,Developer communications,658
data_shared,App activity,Account management,279
data_shared,App info and performance,Analytics,8424
data_shared,App info and performance,"Fraud prevention, security, and compliance",1766
data_shared,Device or other IDs,App functionality,3396
data_shared,Device or other IDs,Analytics,8125
data_shared,Device or other IDs,"Fraud prevention, security, and compliance",2834
data_collected,Location,App functionality,4837
data_collected,Location,Analytics,5755
data_collected,Location,"Fraud prevention, security, and compliance",2796
data_collected,Location,Personalization,2262
data_collected,Location,Account management,764
data_collected,Personal info,App functionality,10888
data_collected,Personal info,Developer communications,4514
data_collected,Personal info,Advertising or marketing,4049
data_collected,Personal info,"Fraud prevention, security, and compliance",4342
data_collected,Personal info,Account management,9322
data_collected,Personal info,Analytics,5710
data_collected,Personal info,Personalization,4178
data_collected,Messages,App functionality,2387
data_collected,Messages,Analytics,483
data_collected,Messages,Developer communications,784
data_collected,Photos and videos,App functionality,3650
data_collected,Photos and videos,Analytics,379
data_collected,Photos and videos,Developer communications,142
data_collected,Photos and videos,Advertising or marketing,88
data_collected,Photos and videos,"Fraud prevention, security, and compliance",478
data_collected,Photos and videos,Personalization,628
data_collected,Photos and videos,Account management,698
data_collected,Audio,Analytics,139
data_collected,Audio,Advertising or marketing,39
data_collected,Audio,"Fraud prevention, security, and compliance",105
data_collected,Files and docs,App functionality,1031
data_collected,Files and docs,Analytics,166
data_collected,Files and docs,Advertising or marketing,45
data_collected,Files and docs,Account management,133
data_collected,App activity,App functionality,6295
data_collected,App activity,Analytics,12992
data_collected,App activity,"Fraud prevention, security, and compliance",3149
data_collected,App activity,Personalization,3327
data_collected,App activity,Advertising or marketing,4706
data_collected,App activity,Account management,767
data_collected,App activity,Developer communications,1248
data_collected,App info and performance,Analytics,15054
data_collected,App info and performance,"Fraud prevention, security, and compliance",2524
data_collected,Device or other IDs,App functionality,8357
data_collected,Device or other IDs,Analytics,12352
data_collected,Device or other IDs,"Fraud prevention, security, and compliance",4937
data_collected,Device or other IDs,Account management,3903
data_shared,Financial info,Account management,303
data_collected,Financial info,App functionality,5131
data_collected,Audio,App functionality,937
data_collected,Contacts,App functionality,687
data_collected,Device or other IDs,Advertising or marketing,8693
data_shared,Location,Analytics,4614
data_shared,Location,Advertising or marketing,5071
data_shared,Location,"Fraud prevention, security, and compliance",2146
data_shared,App info and performance,Advertising or marketing,2360
data_shared,Device or other IDs,Advertising or marketing,8978
data_shared,Personal info,App functionality,3010
