type,data_type,purpose,count
data_shared,Email address,"Fraud prevention, security, and compliance",473
data_shared,User IDs,Analytics,2172
data_shared,User IDs,"Fraud prevention, security, and compliance",798
data_shared,User IDs,Account management,1040
data_shared,Photos,Analytics,75
data_shared,Photos,"Fraud prevention, security, and compliance",193
data_shared,Files and docs,App functionality,344
data_shared,Files and docs,Analytics,63
data_shared,Files and docs,"Fraud prevention, security, and compliance",54
data_shared,App interactions,Analytics,6414
data_shared,App interactions,"Fraud prevention, security, and compliance",1954
data_shared,In-app search history,Analytics,646
data_shared,Other user-generated content,Analytics,331
data_shared,Other user-generated content,Advertising or marketing,110
data_shared,Other user-generated content,"Fraud prevention, security, and compliance",124
data_shared,Other user-generated content,Personalization,136
data_shared,Other actions,App functionality,1059
data_shared,Other actions,Analytics,2465
data_shared,Other actions,Developer communications,243
data_shared,Other actions,Advertising or marketing,1722
data_shared,Other actions,"Fraud prevention, security, and compliance",1064
data_shared,Other actions,Personalization,563
data_shared,Other actions,Account management,98
data_shared,Crash logs,Analytics,7316
data_shared,Crash logs,"Fraud prevention, security, and compliance",1046
data_shared,Diagnostics,Analytics,6642
data_shared,Diagnostics,"Fraud prevention, security, and compliance",1514
data_shared,Other app performance data,Analytics,3557
data_shared,Other app performance data,"Fraud prevention, security, and compliance",790
data_shared,Device or other IDs,App functionality,3396
data_shared,Device or other IDs,Analytics,8125
data_shared,Device or other IDs,"Fraud prevention, security, and compliance",2834
data_collected,Approximate location,App functionality,4020
data_collected,Approximate location,Analytics,5466
data_collected,Approximate location,"Fraud prevention, security, and compliance",2653
data_collected,Approximate location,Personalization,2014
data_collected,Approximate location,Account management,684
data_collected,Email address,App functionality,7340
data_collected,Email address,Developer communications,3025
data_collected,Email address,Advertising or marketing,2216
data_collected,Email address,"Fraud prevention, security, and compliance",2410
data_collected,Email address,Account management,7220
data_collected,User IDs,App functionality,7223
data_collected,User IDs,Analytics,4844
data_collected,User IDs,Developer communications,2213
data_collected,User IDs,Advertising or marketing,2509
data_collected,User IDs,"Fraud prevention, security, and compliance",2898
data_collected,User IDs,Personalization,2368
data_collected,User IDs,Account management,5560
data_collected,Other in-app messages,App functionality,2062
data_collected,Other in-app messages,Analytics,380
data_collected,Other in-app messages,Developer communications,585
data_collected,Photos,App functionality,3597
data_collected,Photos,Analytics,353
data_collected,Photos,Developer communications,138
data_collected,Photos,Advertising or marketing,87
data_collected,Photos,"Fraud prevention, security, and compliance",467
data_collected,Photos,Personalization,619
data_collected,Photos,Account management,692
data_collected,Videos,App functionality,1251
data_collected,Videos,Analytics,178
data_collected,Videos,Advertising or marketing,36
data_collected,Videos,"Fraud prevention, security, and compliance",171
data_collected,Voice or sound recordings,Analytics,120
data_collected,Voice or sound recordings,Advertising or marketing,11
data_collected,Other audio files,Analytics,54
data_collected,Other audio files,"Fraud prevention, security, and compliance",33
data_collected,Files and docs,App functionality,1031
data_collected,Files and docs,Analytics,166
data_collected,Files and docs,Advertising or marketing,45
data_collected,Files and docs,Account management,133
data_collected,App interactions,App functionality,3594
data_collected,App interactions,Analytics,12185
data_collected,App interactions,"Fraud prevention, security, and compliance",2654
data_collected,App interactions,Personalization,2446
data_collected,In-app search history,App functionality,1425
data_collected,In-app search history,Analytics,1825
data_collected,In-app search history,Personalization,944
data_collected,Other user-generated content,App functionality,2310
data_collected,Other user-generated content,Analytics,1166
data_collected,Other user-generated content,Advertising or marketing,213
data_collected,Other user-generated content,"Fraud prevention, security, and compliance",374
data_collected,Other user-generated content,Personalization,712
data_collected,Other user-generated content,Account management,258
